"order_id","presence_id","spacetime_volume_id","place_type","place_name_NL","place_name_NL_standardised","place_name_FR","place_name_FR_standardised","description","police_quarter","canton_of_small_claims_court","earliest_begin","latest_begin","earliest_end","latest_end","source","IIIF_manifest","IIIF_image_URI"
10,5671,3610,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Ajuinenlei","Ajuinenlei",,,"ziet kraanlei en ook oude ajuinenlei.",,,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=583&xywh=-661%2C0%2C4469%2C2706"
11,5672,3611,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Akkergemboulevard","Akkergemboulevard","boul. d'akkergem","Boulevard d'akkergem","van godshuizenboulevard en bijlokevest tot nieuwe wandeling.",2,2,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=583&xywh=-661%2C0%2C4469%2C2706"
12,5673,3612,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Akkergemsstraat","Akkergemsstraat","rue d'akkergem","Rue d'akkergem","van coupure, linker oever, tot akkergemboulevard.",2,2,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=583&xywh=-661%2C0%2C4469%2C2706"
13,5674,3613,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Ambeeldstraat","Ambeeldstraat","rue de l'enclume","Rue de l'enclume","van weversstraat tot  vossenstraat.",6,2,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=583&xywh=-661%2C0%2C4469%2C2706"
14,5675,3614,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Ankerstr.","Ankerstraat","r. de l’ancre","Rue de l’ancre","v. priestersstr. tot stokersstr.","H 3",1,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
15,5676,3615,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Annonciadenstraat","Annonciadenstraat","rue des annonciades","Rue des annonciades","van violettenlei tot twaalfkamersstraat en papegaaistraat.",2,2,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
16,5677,3616,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Antheunisstraat","Antheunisstraat","rue Antheunis","Rue Antheunis","van rapenstraat tot vijfwindgatstraat.",4,1,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
17,5678,3617,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Antwerpschestraat","Antwerpschestraat",,,"ziet dampoortstraat.",,,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
18,5679,3618,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Antwerpschensteenweg","Antwerpschensteenweg","chaussée d'Anvers","Chaussée d'Anvers","van de dampoortbrug tot einde s. Amandsberg.",7,1,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
19,5680,3619,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Antwerpsche voetweg","Antwerpsche voetweg","chemin de terre","Chemin de terre","van antwerpschen steenweg (Potuit) tot antwerpschen steenw. s. Amandsb.",,,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
20,5681,3620,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Apostelsstraat","Apostelsstraat","rue des apôtres","Rue des apôtres","van Frans Ackermanstraat tot zakkebandstraat.",4,1,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
21,5682,3621,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Apotheekstraat","Apotheekstraat","rue de la pharmacie","Rue de la pharmacie","van bijlokekaai tot nieuwe hospitaalstraat.",2,2,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
22,5683,3622,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Appelbrugstraat","Appelbrugstraat","rue du pont aux pommes","Rue du pont aux pommes","van koornle. tot breidelsteeg.",2,2,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
23,5684,3623,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Appelstraat","Appelstraat","rue de la pomme","Rue de la pomme","van rooigemstraat tot nettestraat.",6,2,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
24,5685,3624,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Arnoldusstraat","Arnoldusstraat","rue s. Arnold","Rue Saint Arnold","van blandinusstraat tot s. Pietersplein.",5,2,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
25,5686,3625,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Arsenaalstraat","Arsenaalstraat","rue de l'arsenal","Rue de l'arsenal","Ledeberg, van langestraat tot Vanden Heekestraat.",0,1,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
26,5687,3625,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Arsenaalstraat","Arsenaalstraat","rue de l'arsenal","Rue de l'arsenal","Gentbrugge, van heidestraat tot St Genoisstraat.",0,1,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
27,5688,4427,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Arteveldeplaats","Arteveldeplaats","place Van Artevelde","Place Van Artevelde","ziet Van Arteveldeplaats.",,,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
28,5689,3628,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Augustijnenkaai","Augustijnenkaai","quai des augustins","Quai des augustins","van lievestraat tot molenaarsstraat.",3,1,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
29,5690,3629,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Baaisteeg","Baaisteeg","rue de la frise","Rue de la frise","van zandberg tot vlasmarkt",1,1,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
30,5691,3630,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Bagattenstraat","Bagattenstraat","rue des baguettes","Rue des baguettes","van nederkouter tot s. Pieternieuwstraat.",5,2,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
31,5692,3631,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Baliestraat","Baliestraat","rue de la barrière","Rue de la barrière","van kortrijkschen steenweg tot meerschstraat, s. Pieters-Aigem.","H 5",2,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
32,5693,3632,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Baljuwstraat","Baljuwstraat","rue du bailli","Rue du bailli","van kapellaanstraat tot kazemattenstraat.",7,1,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
33,5694,3633,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Ballenstraat","Ballenstraat","rue des balles","Rue des balles","van kraanlei tot haringsteeg",3,1,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
34,5695,3634,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Barenstraat","Barenstraat","rue aux barres","Rue aux barres","van spiegelstraat tot bisdomkaai.",1,1,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
35,5696,3631,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Barrierestraat, b. de kortrijkschepoort","Barrierestraat, buiten de kortrijkschepoort","rue de la barrière, faub. de Courtrai","Rue de la barrière, faubourg de Courtrai","ziet baliestraat.",,,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
36,5697,3636,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Bassijnplaats","Bassijnplaats","place du bassin","Place du bassin","Gentbrugge, van bassijnstraat tot scheldekant.",0,1,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
37,5698,3637,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Bassijnstraat","Bassijnstraat","rue du bassin","Rue du bassin","Gentbrugge, van kerkstraat tot bassijnplaats.",0,1,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
38,5699,3638,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Batterijstraat, b. de brugschepoort","Batterijstraat, buiten de brugschepoort","rue de la batterie","Rue de la batterie","van brugschensteenweg tot zuidkaai.",6,2,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
39,5700,3639,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Baudeloolei","Baudeloolei",,,"ziet ottogracht.",,,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
40,5701,3640,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Baudeloostraat","Baudeloostraat","rue d'othon, du jardin des plantes ou baudeloo","Rue d'othon|Rue du jardin des plantes|Rue baudeloo","van baudeloolei tot oudevest.",1,1,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
41,5702,3641,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Baviaanstraat","Baviaanstraat","rue des babouins","Rue des babouins","van zaaimansstraat tot fabriekplaats.",3,1,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
42,5703,3642,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Beekstraat","Beekstraat","rue du ruisseau","Rue du ruisseau","Gentbrugge, van moriaanstraat Gentbrugge tot veldstraat Gentbrugge.",,,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
43,5704,3643,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Beeldhouwerstraat","Beeldhouwerstraat","rue de sculpteur","Rue de sculpteur","s. Amandsberg, van kunststraat tot toekomststraat.",,,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
44,5705,3644,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Beestenmarkt (nieuwe)","Beestenmarkt (nieuwe)","nouveau marché au bétail","Nouveau marché au bétail","tusschen kasteelboulevard en 't slachthuis.",7,1,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=584&xywh=-661%2C0%2C4469%2C2706"
