"order_id","spacetime_volume_id","place_type","place_name_NL","place_name_FR","description","police_quarter","canton_of_small_claims_court","earliest_begin","latest_begin","earliest_end","latest_end","source","IIIF_manifest","IIIF_image_URI"
10,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Achterstraat","arrière rue","van antwerpschen steenweg (dubbele arend) tot antwerpschen steenweg (Potuit) s. Amandsberg.",,,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=620&xywh=-937%2C-153%2C4995%2C3025"
11,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Ajuinenlei",,"ziet kraanlei en ook oude ajuinenlei.",,,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=620&xywh=-937%2C-153%2C4995%2C3025"
12,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Akkergemboulevard","boul. d'akkergem","van godshuizenboulevard en bijlokevest tot nieuwe wandeling.","H 2",2,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=620&xywh=-937%2C-153%2C4995%2C3025"
13,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Akkergemstraat","rue d’akkergem","van coupure, linker oever, tot akkergemboulevard.","H 2",2,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
14,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Ambeeldstraat","rue de l'enclume","van weversstraat tot vossenstraat.",6,3,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
15,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Ankerstr.","r. de l’ancre","v. priestersstr. tot stokersstr.","H 3",1,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
16,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Annonciadenstraat","rue des annonciades","van violettenlei tot twaalfkamersstraat en papegaaistraat.",2,2,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
17,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Antheunisstraat","rue Antheunis","van rapenstraat tot vijfwindgatstraat.",4,1,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
18,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Antwerpschestraat",,"ziet dampoortstraat.",,,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
19,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Antwerpschensteenweg","chaussée d'Anvers","van de dampoortbrug tot einde s. Amandsberg.",7,1,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
20,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Antwerpsche voetweg","chemin de terre","van antwerpschen steenweg (Potuit) tot antwerpschen steenw. s. Amandsb.",,,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
21,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Apostelsstraat","rue des apôtres","van Frans Ackermanstraat tot zakkebandstraat.",4,1,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
22,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Apotheekstraat","rue de la pharmacie","van bijlokekaai tot nieuwe hospitaalstraat.","H 2",2,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
23,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Appelbrugstraat","rue du pont aux pommes","van koornlei tot breidelsteeg.",2,3,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
24,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Appelstraat","rue de la pomme","van rooigemstraat tot nettestraat.",6,3,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
25,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Arnoldusstraat","rue s. Arnold","van blandinusstraat tot s. Pietersplein.",5,2,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
26,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Arsenaalstraat","rue de l'arsenal","Ledeberg, van langestraat tot Vanden Heekestraat.",,,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
27,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Arsenaalstraat","rue de l'arsenal","Gentbrugge, van heidestraat tot St Genoisstraat.",,,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
28,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Arteveldeplaats","place Van Artevelde","ziet Van Arteveldeplaats.",,,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
29,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Augustijnenkaai","quai des augustins","van lievestraat tot molenaarsstraat.",3,3,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
30,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Baaisteeg","rue de la frise","van zandberg tot vlasmarkt.",1,1,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
31,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Bagattenstraat","rue des baguettes","van nederkouter tot s. Pietersnieuwstraat.",5,2,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
32,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Baliestraat","rue de la barrière","van kortrijkschen steenweg tot meerschstraat, s. Pieters-Aigem.","H 5",2,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
33,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Baljuwstraat","rue du bailli","van kapellaanstraat tot kazemattenstraat.",7,1,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
34,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Ballenstraat","rue des balles","van kraanlei tot haringsteeg",3,3,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
35,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Barenstraat","rue aux barres","van spiegelstraat tot bisdomkaai.",1,1,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
36,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Barrierestraat, b. de kortrijkschepoort","rue de la barrière, faub. de Courtrai","ziet baliestraat",,,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
1003,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Bassijnplaats","place du bassin","Gentbrugge, van bassijnstraat tot scheldekant.",,,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
37,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Bassijnstraat","rue du bassin","Gentbrugge, van kerkstraat tot bassijnplaats.",,,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
38,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Batterijstraat, b. de brugschepoort","rue de la batterie","van brugschensteenweg tot zuidkaai.",6,3,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
39,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Baudeloolei",,"ziet ottogracht.",,,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
40,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Baudeloostraat","rue d'othon, du jardin des plantes ou baudeloo","van baudeloolei tot oudevest.",1,1,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
41,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Baviaanstraat","rue des babouins","van zaaimansstraat tot fabriekplaats.",3,3,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
42,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Beekstraat","rue du ruisseau","Gentbrugge, van moriaanstraat Gentbrugge tot veldstraat Gentbrugge.",,,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
43,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Beeldhouwerstraat","rue de sculpteur","s. Amandsberg, van kunststraat tot toekomststraat.",,,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
44,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Beestenmarkt (nieuwe)","nouveau marché au bétail","tusschen kasteelboulevard en 't slachthuis.",7,1,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
45,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Beestenmarkt (oude)","vieux marché au bétail","van s. jacobsnieuwstraat tot zilverstraat.",1,1,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
46,,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Begijnendreef","avenue des béguines","s. Amandsberg, van schoolstraat tot nieuw begijnhof.",,,"1898-01-01T00:00:00",,,"1898-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/U32PZGXS","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EB1B0E6A-5141-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AEB1B0E6A-5141-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=621&xywh=-687%2C-1%2C4496%2C2723"
