"order_id","presence_id","spacetime_volume_id","place_type","place_name_NL","place_name_NL_standardised","place_name_FR","place_name_FR_standardised","description","police_quarter","canton_of_small_claims_court","earliest_begin","latest_begin","earliest_end","latest_end","source","IIIF_manifest","IIIF_image_URI","IIIF_canvas_URI"
11,9702941922,3609,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Achterstraat","Achterstraat","arrière rue","Arrière rue","van antwerpschen steenweg (dubbele arend) tot antwerpschen steenweg (Potuit) s. Amandsberg.",,,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=674&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1351/full/full/0/native.jpg"
12,2333760509,4185,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Ajuinenlei","Ajuinenlei","quai aux oignons","Quai aux oignons","van predikheerenstraat tot recollettenlei.",2,2,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=674&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1351/full/full/0/native.jpg"
13,2000384771,3611,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Akkergemboulevard","Akkergemboulevard","boul. d’akkergem","Boulevard d’akkergem","van godshuizenboulevard en bijlokevest tot akkergembrug.","H 2",2,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=674&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1351/full/full/0/native.jpg"
14,9160105163,3612,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Akkergemstraat","Akkergemstraat","rue d’akkergem","Rue d’akkergem","van coupure, linker oever, tot akkergemboulevard.","H 2",2,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=674&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1351/full/full/0/native.jpg"
15,4429666757,3613,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Ambeeldstraat","Ambeeldstraat","rue de l'enclume","Rue de l'enclume","van weversstraat tot vossenstraat.",6,3,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=675&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1353/full/full/0/native.jpg"
16,2620675134,3614,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Ankerstr.","Ankerstraat","r. de l’ancre","Rue de l’ancre","v. priestersstr. tot stokersstr.","H 3",1,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=675&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1353/full/full/0/native.jpg"
17,9739937895,3615,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Annonciadenstraat","Annonciadenstraat","rue des annonciades","Rue des annonciades","van oude violettenlei tot twaalfkamersstraat en papegaaistraat.",2,2,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=675&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1353/full/full/0/native.jpg"
18,4475018799,3616,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Antheunisstraat","Antheunisstraat","rue Antheunis","Rue Antheunis","van rapenstraat tot vijfwindgatstraat.",4,1,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=675&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1353/full/full/0/native.jpg"
19,3226148106,3617,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Antwerpschestraat","Antwerpschestraat",,,"ziet dampoortstraat.",,,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=675&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1353/full/full/0/native.jpg"
20,461621146,3618,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Antwerpschensteenweg","Antwerpschensteenweg","chaussée d'Anvers","Chaussée d'Anvers","van de dampoortbrug tot antwerpschen steenweg s. Amandsberg.",7,1,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=675&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1353/full/full/0/native.jpg"
21,246677812,12247,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Antwerpschen steenweg","Antwerpschen steenweg","chaussée d'Anvers","Chaussée d'Anvers","S. Amandsberg, van antwerpschen steenweg (Gent) tot Oostakker.",,,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=675&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1353/full/full/0/native.jpg"
22,9780204195,9780204195,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Antwerpschen voetweg","Antwerpschen voetweg","chemin de terre","Chemin de terre","van antwerpschen steenweg (Potuit) tot antwerpschen steenw. s. Amandsb.",,,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=675&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1353/full/full/0/native.jpg"
23,5663725996,3620,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Apostelsstraat","Apostelsstraat","rue des apôtres","Rue des apôtres","van Frans Ackermanstraat tot zakkebandstraat.",4,1,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=675&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1353/full/full/0/native.jpg"
24,4760450869,3621,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Apotheekstraat","Apotheekstraat","rue de la pharmacie","Rue de la pharmacie","van bijlokekaai tot nieuwe hospitaalstraat.","H 2",2,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=675&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1353/full/full/0/native.jpg"
25,5904069743,3622,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Appelbrugstraat","Appelbrugstraat","rue du pont aux pommes","Rue du pont aux pommes","van koornlei tot breidelsteeg.",2,3,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=675&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1353/full/full/0/native.jpg"
26,3398360114,3623,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Appelstraat","Appelstraat","rue de la pomme","Rue de la pomme","van rooigemstraat tot nettestraat.",6,3,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=675&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1353/full/full/0/native.jpg"
27,4221001590,3624,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Arnoldstraat","Arnoldstraat",,,"ziet S. Arnoldstraat.",,,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=675&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1353/full/full/0/native.jpg"
28,9088604411,3625,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Arsenalstraat","Arsenalstraat","rue de l'arsenal","Rue de l'arsenal","Ledeberg, van langestraat tot Vanden Heckestraat.",,,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=675&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1353/full/full/0/native.jpg"
29,3927470261,3626,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Arsenaalstraat","Arsenaalstraat","rue de l'arsenal","Rue de l'arsenal","Gentbrugge, van heidestraat tot St. Genoisstraat.",,,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=675&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1353/full/full/0/native.jpg"
30,2337706541,4427,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Arteveldeplaats","Arteveldeplaats",,,"ziet Van Arteveldeplaats.",,,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=675&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1353/full/full/0/native.jpg"
31,9622770638,3628,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Augustijnenkaai","Augustijnenkaai","quai des augustins","Quai des augustins","van lievestraat tot molenaarsstraat.",3,3,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=675&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1353/full/full/0/native.jpg"
32,8403247818,4638,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Azaleastraat","Azaleastraat","rue de l’azalée","Rue de l’azalée","van brugschen steenweg tot olijfstraat.",6,3,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=675&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1353/full/full/0/native.jpg"
33,6002108896,3629,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Baaisteeg","Baaisteeg","rue de la frise","Rue de la frise","van zandberg tot vlasmarkt",1,1,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=675&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1353/full/full/0/native.jpg"
34,4640,3630,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Bagattenstraat","Bagattenstraat","rue des baguettes","Rue des baguettes","van nederkouter tot s. Pietersnieuwstraat.",5,2,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=675&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1353/full/full/0/native.jpg"
35,4641,3631,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Baliestraat","Baliestraat","rue de la barrière","Rue de la barrière","van kortrijkschen steenweg tot meerschstraat, s. Pieters-Aigem.","H 5",2,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=675&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1353/full/full/0/native.jpg"
