,0,1,2,3,4
26,"Arsenaalstraat","rue de l'arsenal","Ledeberg, van langestraat tot Vanden Heekestraat.",,
27,"Arsenaalstraat","rue de l'arsenal","Gentbrugge, van heidestraat tot St Genoisstraat.",,
28,"Arteveldeplaats","place Van Artevelde","ziet Van Arteveldeplaats.",,
29,"Augustijnenkaai","quai des augustins","van lievestraat tot molenaarsstraat.",3,3
30,"Baaisteeg","rue de la frise","van zandberg tot vlasmarkt",1,1
31,"Bagattenstraat","rue des baguettes","van nederkouter tot s. Pietersnieuwstraat.",5,2
32,"Baliestraat","rue de la barrière","van kortrijkschen steenweg tot meerschstraat, s. Pieters-Aigem.","H 5",2
33,"Baljuwstraat","rue du bailli","van kapellaanstraat tot kazemattenstraat.",7,1
34,"Ballenstraat","rue des balles","van kraanlei tot haringsteeg",3,3
35,"Barenstraat","rue aux barres","van spiegelstraat tot bisdomkaai.",1,1
36,"Barrierestraat, b. de kortrijkschepoort","rue de la barrière, faub. de Courtrai",", ziet baliestraat Bassijnplaats  place du bassin  Gentbrugge, van bassijnstraat tot scheldekant.",,
37,"Bassijnstraat","rue du bassin","Gentbrugge, van kerkstraat tot bassijnplaats.",,
38,"Batterijstraat, b. de brugschepoort","rue de la batterie","van brugschensteenweg tot zuidkaai.",6,3
39,"Baudeloolei",,"ziet ottogracht.",,
40,"Baudeloostraat","rue d'othon, du jardin des plantes ou baudeloo","van baudeloolei tot oudevest.",1,1
41,"Baviaanstraat","rue des babouins","van zaaimansstraat tot fabriekplaats.",3,3
42,"Beekstraat","rue du ruisseau","Gentbrugge, van moriaanstraat Gentbrugge tot veldstraat Gentbrugge.",,
43,"Beeldhouwerstraat","rue de sculpteur","s. Amandsberg, van kunststraat tot toekomststraat.",,
44,"Beestenmarkt [nieuwe]","nouveau marché au bétail","tusschen kasteelboulevard en 't slachthuis.",7,1
45,"Beestenmarkt [oude]","vieux marché au bétail","van s. jacobsnieuwstraat tot zilverstraat.",1,1
46,"Begijnendreef","avenue des béguines","s. Amandsberg, van schoolstraat tot nieuw begijnhof.",,
47,"Begijnendries",,"ziet s. Elisabethplaats.",,
48,"Begijnengracht","fossé s. Elisabeth","van burgstraat tot brugschepoortstraat.",2,3
49,"Begijnenstraat","rue des béguines","van begijnhofplaats tot begijnhofboulevard.",2,3
50,"Begijnhofboulevard",,"ziet boulevard van het begijnhof.",,
51,"Begijnhofplaats","pl. du béguinage","rond s. Elisabethkerk.",2,3
52,"Belgradestraat","rue de belgrade","van brabantdam tot keizerkarelstraat.",4,1
53,"Bellevuestraat","rue de bellevue","van coupure, linker oever, tot akkergemstraat.","H 2",2
54,"Bellevuestraat","rue de bellevue","Ledeberg, van hundelgemschen steenweg, rechts, tot de schelde.",,
55,"Benardstraat","r. Benard","v. muinkbrug t. dierentuindr.",5,1
56,"Bennesteeg","rue des vanniers","van mageleinstraat tot veldstraat",1,2
57,"Berensteeg","rue aux ours","van goudstraat tot rivier, achterlei.",1,1
58,"Berouwstraat","rue du repentir","van chartreuzenstraat tot tusschen vogelenzangkaai en geuzenberg.",3,3
59,"Berriesteeg","rue de la civière",", ziet bronsteeg.",,
60,"Bestormstraat","rue d'assaut","van onderbergen tot violettenlei.",2,2
61,"Beukstraat","rue du hêtre","van verbindingstraat tot populierstraat.",3,3
62,"Bezemsstraat","r. des balais","v. onderbergen t. struifsteeg.",2,2
63,"Biestraat","rue de l'abeille","van land van waasstraat tot Oostakkerstraat.",7,1
64,"Biezenkapelstraatje","ruelle dite biezenkapel","van regnessenstraat tot nederpolder.",1,2
65,"Binnenweg","chemin de traverse","Ledeberg, van hundelgemschen steenweg tot verder op den zelfden weg.",,
66,"Bisdomkaai","quai de l'évêché","van wijngaardbrug tot nieuwbrug.",1,1
67,"Bisdomplaats","place de l'évêché","van bij s. Baafs tot reep.",1,2
68,"Bisschopstraat","rue Bisschop","Ledeberg, van hundelgemschen steenweg tot trekweg.",,
69,"Blandinusstraat","rue blandin","van s. pietersnieuwstraat tot s. amandstraat.",5,2
70,"Blauwmeiskensstraat",,"ziet werregarenstraat.",,
71,"Bleekersdijk","digue des blanchisseurs","v. nieuwland tot ham.","H 3",1
72,"Bleekerijstraat","rue de la blanchisserie","van bleekersdijk tot ham.","H 3",1
73,"Blindeken","r. de l’aveugle","v. comijnstr. tot brouwersstr.",2,2
74,"Bloemistenstraat","rue des fleuristes","St. Amandsberg, van antwerpsche steenweg tot achterstraat.",7,1
75,"Bloemstraat","rue aux fleurs","van nederkouter tot pollepelstraat.",5,2
76,"Bloemstraat","rue aux fleurs","Ledeberg, van ijzerenwegboulevard  ledeberg  tot bellevuestraat.",,
77,"Bloemstraat","rue aux fleurs","Gentbrugge, van statieplaats  meirelbeke  tot meirelbekestraat.",,
78,"Boegsteeg","r. de la proue","v. veldstr. tot predikheerenlei.",1,2
79,"Bombaystraat","rue de Bombay","van Londenstraat tot voorhavendreef.","H 3",1
80,"Bommelstraat","rue du bondon","van ottergemschen steenweg tot zwijnaardschen steenweg, s. Pieters-Aalst.","H 5",2
81,"Bonteleeuwstraat","rue du lion","van korte meire tot veldstraat.",1,2
82,"Boomgaardstraat","rue du verger","van hertogstraat tot roodekoningstraat.",3,1
83,"Boomstraat","rue de l’arbre","van peterceliestraat tot brugschen steenweg",6,3
84,"Boschstraat","rue du bois","Gentbrugge, van achterdries tot heuzenbrug.",,
85,"Botermansstraat","rue des beurriers","van burgstraat tot meersteeg.",2,3
86,"Botermarkt","marché au beurre","van hoogpoort tot mageleinstraat.",1,2
87,"Boulevard van akkergem","boulev. d’akkergem","ziet akkergemboulevard.",,
88,"Boulevard van het begijnhof","boulev. du béguinage","van plezantevest tot brugschepoortstraat.","H 6",3
89,"Boulevard van Brussel of brusselsche boulevard","boulevard de Bruxelles","van einde keizer- tot einde s. lievenstraat.",4,1
90,"Boulevard der citadel","boulevard de la citadelle","van aan de Leibrug tot aan Terplatenbrug. H 5 en",5,2
91,"Boulevard van den dierentuin",,"ziet dierentuindreef.",,
92,"Boulevard van den kleinen dok","boulevard du petit dok","van antwerpschen steenweg tot meulesteedschen steenweg. H3 —","HM 3",1
93,"Boulevard Frère-Orban","boulevard Frère-Orban","van statieplaats tot s. Lievensboulevard.",4,1
94,"Boulevard van den gasmeter","boulev. du gazomètre","van eliseeschevelden tot plezantevest langs het water. 3—","H 6",3
95,"Boulevard der Schelde","boulevard de l’Escaut","langs de schelde van boulevard Lousbergs tot aan de brug van den ringspoorweg.",7,1
96,"Boulevard der godshuizen","boulevard des hospices",", ziet godshuizenboulevard.",,
97,"Boulevard der heirnisse","boulevard de l’heirnisse","van kasteelboulevard tot aan de nieuwe sluis  Gentbrugge .",7,1
98,"Boulevard der normaalschool","boul. de l’école normale",", ziet Hofbouwlaan.",,
99,"Boulevard van het kasteel","boulevard du château","van boulevard Lousbergs tot hoek der schoolkaai.",7,1
100,"Boulevard Leopold","boulev. Leopold","van den boulevard der citadel tot kortrijkschen steenweg.","H 5",2
101,"Boulevard Lousbergs","boulev. Lousbergs","voorheen visscherij, linker oever, van den slachthuisboulevard tot de nederschelde, bij de keizerpoort.",7,1
102,"Boulevard van plaisance","boulevard de plaisance","van begijnhofboulevard tot nijverheidsplaats. H 6 —",3,3
103,"Boulevard van s. Lieven","boul. s. Liévin","van brusselschen boulevard tot aan de terplatenbrug.",4,1
104,"Boulevard van het slachthuis","boulevard de l’abattoir","van de schoolkaai tot boulevard Lousbergs.",7,1
105,"Boulevard van den ijzeren weg","boulevard du chemin de fer","Gentbrugge, van kerkstraat tot leemstraat.",,
106,"Brabantdam","rue digue de brabant","van brabantstraat tot Van Arteveldeplaats.",4,1
107,"Brabantstraat","rue de brabant","van vogelmarkt tot brabantdam.",1,2
108,"Braderijstraat","rue des rotisseurs","van groot gewat tot lievekaai.",2,3
109,"Braeckmanstraat","rue Braeckman","s. Amandsberg, in de achterstraat.",,
110,"Brandstraat","rue de l'incendie","van houtlei tot holstraat.",2,2
111,"Brederodestraat","rue Brederode","van kortrijkschen steenweg tot boulevard Leopold.","H 5",2
112,"Breidelsteeg","r. des selliers","van appelbrug tot burgstr.",2,3
113,"Bronsteeg","rue de la source, rue de la civière","v. kalanderberg tot gouvernementstraat.",1,2
114,"Brouwersstraat","rue des brasseurs","van ram tot blindeken",2,3
115,"Brugschepoortstraat","rue de la porte de Bruges","van hoogstr. en begijnengracht t. noordstr., brugschep.",2,"2 en 3"
116,"Brugschensteenweg, buiten de brugschepoort","chaussée de Bruges","van phoenixstraat tot Mariakerke.",6,3
117,"Bruiloftstraat","rue de la noce","Gentbrugge, van brusselschensteenweg tot kasteelstraat.",,
118,"Brunaustraat","rue Brunau","van Oostakkerstraat tot hoogstraat, s. Amandsberg.",,
119,"Brusselscheboulevard",,"ziet boulevard van Brussel.",,
120,"Brusselschepoortvest",,"ziet boulevard van Brussel.",,
121,"Brusselschensteenweg","chauss. de Bruxelles","Gentbrugge, van hovenierstraat tot Melle.",,
122,"Brusselschensteenweg","chaussée de Bruxelles","Ledeberg, van de keizerpoort tot hovenierstraat.",,
123,"Brusselschestraat of keizerstraat","rue de Bruxelles ou de l'empereur","van vijfwindgatbrug tot keizerpoort.",4,1
124,"Buiten de heuvelpoort","faubourg de la porte de la colline",", ziet s. Pieters-Aalst.",,
125,"Buiten de kortrijkschepoort","faubourg de la porte de Courtrai",", ziet s. Pieters-Aigem.",,
126,"Burgstraat","rue de Bruges","van hoogezonnestraat tot begijnengracht.",2,3
127,"Bijlokekaai","quai de la biloque","van coupure tot bijlokemeerschen.","H 2",2
128,"Bijlokenhof","square de la biloque","van bijlokevest tot godshuizenboulevard.","H 2",2
129,"Bijlokestraat","rue de la biloque","van bijlokevest tot coupure.","H 2",2
130,"Bijlokevest","rempart de la biloque","van godshuizenstr. tot kleine bellevuestraat en akkergemboulevard.","H 2",2
131,"Bij s. Baafs","cloître s. Bavon","van gouvernementstraat tot bisdomplaats.",1,2
132,"Bij s. Jacobs","cloître s. Jacques, place ou près s. Jacques","v. kammersstr. tot steendam, rond s. Jacobskerk.",1,1
133,"Cameliastraat","rue du camelia","v. dendermondschen steenweg tot nieuwe begijnhofstraat.",7,1
134,"Casinoplaats","place du casino","van holstraat tot casinostraat.",2,2
135,"Casinostraat","rue du casino","van theresianenstraat tot casinoplaats.",2,2
136,"Cataloniëstraat","rue de la catalogne","van s. janstraat tot koornmarkt.",1,2
137,"Catharinastraat","rue Ste Cathérine","tusschen goud- en gelukstraat, ziet kathelijnestraat.",1,1
138,"Cederstraat","rue du cèdre","van sperrenstraat tot peterceliestraat.",6,3
139,"Chartreuzenstraat","rue des chartreux","van korte schipgracht tot groot meerhem.",3,3
140,"Citadelboulevard",,"ziet boulevard der citadel.",,
141,"Citroensstraat","rue du citron","van ijskelderstraat tot De Smetstraat","H 6",3
142,"Colpaertsteeg","impasse Colpaert","op de coupure, linker oever, straat zonder einde.","H 2",2
143,"Comediestraat",,"ziet Schouwburgstraat.",,
144,"Comijnstraat","rue du cumin","van den ram tot peperstr.",2,3
145,"Conduitsteeg","rue du conduit","van korte meire tot veldstraat.",1,2
146,"Conservatoriumstraat","rue du conservatoire","van Limburgstraat tot bij s. Baafs.",1,2
147,"Contributiestraat","rue de la contribution","van brugschepoortstraat tot einde coupure, rechter oever.",2,2
148,"Corianderstraat","rue de la coriandre","van walpoortbrugstraat tot grooten huidevettershoek.",5,2
149,"Coupure, linker oever","coupure, rive gauche","van verlorenbroodstraat tot nieuwe wandeling.","H 2",2
150,"Coupure, rechter oever","coupure, rive droite","van lindenlei tot contributiestraat.",2,2
151,"Coupuregang","passage de la coupure","van rasphuisstraat tot coupure, rechter oever.",2,2
152,"Dampoortstraat","rue de la porte d'Anvers","van roodetorenkaai tot antwerpschen steenweg.",7,1
153,"De Craeyerstraet","rue De Craeyer",", van lange kazernstraat tot eikhoutstraat.",5,2
154,"Dekstraat","rue des couvreurs","van s. amandstraat tot lange kazernstraat.",5,2
155,"Demildreef","avenue Demil","Ledeberg, van hundelgemschen steenweg tot de schelde.",,
156,"Denaeyerdreef","avenue Denaeyer","van mooriaanstraat Ledeberg tot brusselschensteenweg Gentbrugge.",,
157,"Dendermondschensteenweg","chaussée de Termonde","van antwerpschen steenweg, dampoort, tot Destelbergen.",7,1
158,"De Smetstraat","rue De Smet",", van den begijnhofboulev. tot gasmeterboulevard.","H 6",3
159,"De Somerstraat","rue De Somer","s. Amandsberg, van antwerpschen steenweg tot mertensstraat.",,
160,"De Vreesebeluik","cité De Vreese","van blandinusstraat tot rogierstraat.",5,2
161,"Dierentuindreef","boulev. ou avenue du jardin zoologique","van Lieven Bauwenplaats tot s. Lievensvest.",5,1
162,"Dok","dock, bassin du commerce ou quai du grand bassin","van voormuide tot dampoortstraat H 3 en",7,1
163,"Dok, linker oever","dock, rive gauche",", ziet kl. dokkaai.",,
164,"Dok, rechter oever","dock, rive droite",", ziet dok.",,
165,"Dokstraat","rue du dock","van wollestraat tot den dok.",7,1
166,"Donkersteeg","rue du paradis",", van goudenleeuwplaats tot koornmarkt.",1,2
167,"Donkerstraatje","rue obscure","van vrijdagmarkt tot sleurstraat.",1,1
168,"Doorgangsteeg","r. traversière","v. bennesteeg t. volderstr.",1,2
169,"Doorgangstraat","rue traversière","Ledeberg, van langestraat tot kerkstraat.",,
170,"Doornstraat","rue de l’épine","van Frans Ackermanstraat tot mortierstraat.",4,1
171,"Drapstraat","rue aux draps","van koornlei tot poel.",2,"2 en 3"
172,"Dries","place du pré","Gentbrugge.",,
173,"Driesstraat","rue du dries","Ledeberg, van brusselschen steenweg tot eggermontstraat.",,
174,"Drongenhof","rue du bac",", ziet veerdamstraat.",,
175,"Drongenschestraat of steenweg","rue ou chaussée de Tronchiennes","van rooigemstraat tot Drongen.",6,3
176,"Druifsteeg","rue des raisins","van vrijdagmarkt tot baudeloolei.",1,1
177,"Duinkerkestraat","rue de Dunkerque","van Londenstraat tot voorhavenstraat.","HM 3",1
178,"Duivelsteeg","r. du diable","v. spiegelstr. tot herpelsteeg.",1,1
179,"Duivenstraatje","rue des pigeons","van engelstraat tot donkerstraat.",1,1
180,"Dwarsstraat","rue traversière","van muinkkaai tot dierentuindreef.",5,1
181,"Dwarsstraat","rue traversière","Gentbrugge, van de Van Ooststraat tot bassijnstraat.",,
182,"Dwarsstraatje",,"ziet doorgangsteeg.",,
183,"Eedverbondkaai","quai du compromis","van citadellaan langs de lei.","H 5",2
184,"Eedverbondstraat","rue du compromis","van citadellaan tot meerschstraat.","H 5",2
185,"Eendrachtstraat","rue de la concorde","van kasteellaan tot toekomststraat.",7,1
186,"Eggermontstraat","rue Eggermont","Ledeberg, van hundelgemschen steenweg tot vooruitgangplaats.",,
187,"Egmontstraat","rue d'Egmont","van kortrijkschen steenweg tot boulevard Leopold.","H 5",2
188,"Eikhoutstraat","rue de la chênaie","v. Van Duyse'splaats citadellaan.",5,2
189,"Einde weire",,"is einde akkergemboulevard  linker kant.",,
190,"Ekstersstraat","rue de la pie","van schildstraat tot abrikoosstraat.",6,3
191,"Eliseesche velden","champs élisées","van noordkaai tot palinghuizen.","H 6",3
192,"Eliseescheveldenstraat","rue des champs élisées","van kerkstraat tot eliseesche velden.","H 6",3
193,"Elsstraat","rue de l'aune","in den nieuwen rabotwijk, van de vlotstraat tot gasmeterboulevard.","H 6",3
194,"Engelandgat","rue d'Angleterre","van s. michielsplein tot struifsteeg.",2,2
195,"Engelschenonnenstraat","rue des nonnes anglaisses","van s. pietersnieuwstraat tot de opperschelde, muinkkaai.",5,2
196,"Engelstraat","rue de l’ange","van vrijdagmarkt tot garenplaats.",1,1
197,"Engelstraat","rue de l’ange","s. Amandsberg, van molenstraat tot dendermondschen steenweg.",,
198,"Esschestraat","rue du frêne","van verbindingstraat tot populierstraat",3,3
199,"Evastraat","rue d'Eve","s. Amandsberg, van antwerpschesteenweg tot koersplein.",,
200,"Ezelstraat","rue de l’âne","s. Amandsberg, van oude barreel tot Oostacker.",,
201,"Fabriekplaats","place des fabriques","van s. margrietestraat tot palingstraat.",3,3
202,"Fabriekstraat","rue de la fabrique","Gentbrugge, van kerkstraat tot schelde.",,
203,"Fezantstraat","r. du faisan","v. Haanstr. tot vorkstr.","HM 3",1
204,"Fiennesdreef","avenue de Fiennes","van koornlei tot huurdochtersstraat.",2,2
205,"Fiévéstraat","rue Fiévé","van nieuwland tot dok.","H 3",1
206,"Flobertstraat","rue flobert","van s. pietersplein tot s. amandstraat.",5,2
207,"Florastraat","rue de Flore","Ledeberg, van Van Geertstraat tot Van Houttestraat Gentbrugge.",,
208,"Fortstraat","rue du fort","van kortrijkschen steenweg tot zandstraat","H 5",2
209,"Fortlaan","boul. du fort","v. parklaan tot boul. Leopold.","H 5",2
210,"Frans Ackermanstraat","rue Frans Ackerman","van veerstraat tot apostelsstraat.",4,1
211,"Frère-Orbanboulevard",,"ziet boulevard Frère-Orban.",,
212,"Froebeelstraat","rue Froebel","van begijnhofplaats tot verspeyenstraat.",2,3
213,"Fruitmarkt",,"ziet graslei.",,
214,"Galerij","nationale","ziet Nationale Galerij.",,
215,"Galerij Vanderdonckt",,"ziet Vanderdonckt’s doorgang.",,
216,"Galgenbergstraat","rue du calvaire","van holstraat tot twaalfkamersstraat.",2,2
217,"Galgestraat","rue de la potence","van s. Pietersaalststraat tot zwijnaardschen steenweg, s. Pieters-Aalst.","H 5",2
218,"Ganzendriesstraat","r. du pré des oies","van kortrijkschen steenweg tot meerschstraat, s. Pieters-Aigem.","H 5",2
219,"Garenmarkt","marché au fil","van waaistr. tot speldenstr.",1,1
220,"Gasmeterboulevard",,"ziet boulevard van den gasmeter.",,
221,"Gasmetersstraat","rue du gazomètre","van kerkstraat tot gasmeterboulevard.","H 6",3
222,"Gasthuisstraat","rue de l’hôpital","Ledeberg, van doorgangstraat tot moriaanstraat.",,
223,"Gasthuisstraat Gentbrugge",,"ziet hospiciestraat.",,
224,"Geitestraat","rue de la chèvre","van drongenschenweg tot rooigemstraat",6,3
225,"Geldmunt","rue de la monnaie","van veerleplaats tot lange steensstraat.",3,1
226,"Gelukstraat","r. du bonheur","v. baudeloolei tot oudevest.",1,1
227,"Gentstraat","rue de Gand","van antwerpschen steenweg tot slootendries  Oostakker .",,
228,"Gerardstraat","rue Gérard","s. Amandsberg, van antwerpschen steenweg tot meerschstraat.",,
229,"Gerststraat","rue de l'orge","v. molenaarsstr. tot lievegang.",3,3
230,"Geuzenberg of hoek","montagne des infidèles","van vogelenzangkaai tot einde groot meerhem.",3,3
231,"Gewat, ziet groot gewat en klein gewat Gildestraat","rue de la confrérie","van s. jacobsnieuwstr. tot kalvermarkt.",1,1
232,"Godshuishammeke","rue de la maison-dieu","van slijpstraat tot huidevetterken en Van Caneghemstraat.",3,1
233,"Godshuizenlaan","boulevard des hospices","van citadellaan tot akkergemlaan.","H 2",2
234,"Godshuizenstraat","rue des hospices","van de coupure links tot bijlokevest en godshuizenboulevard.","H 2",2
235,"Goedelevenstraat","rue de bonne vie","s. Amandsberg, weg naar oostacker.",,
236,"Gontrodestraat Gentbrugge",,"ziet rodschenweg.",,
237,"Goudenleeuwplaats","place du lion d'or","van korte ridderstraat en kiekenmarkt tot klein turkije.",1,2
238,"Gouden sterrestraat","rue de l’étoile d'or","van zuidkaai tot brugschen steenweg.",6,3
239,"Goudstr.","rue d'or","van speldenstr. tot minnenmeersch.",1,1
240,"Gouvernementstraat","r. du gouvernement","van bij s. Baafs tot kortedagsteeg.",1,2
241,"Graaf van Vlaanderenplaats",,"ziet statieplaats.",,
242,"Graslei","quai aux herbes","v. grasbrug tot predikheerenlei",1,2
243,"Groendreef","allée-verte","van zuidkaai tot Mariakerke.",6,3
244,"Groendreefsteeg","imp. de l’allée-verte","op de groendreef.",6,3
245,"Groenselmarkt","marché aux légumes ou aux herbes","van hoogpoort tot kortemunt, pensmarkt en vleeschhuisbr.",1,"1 en 2"
246,"Groenstraat","rue verte","van huidevetterskaai tot Van Caneghemstraat.",3,1
247,"Groote huidevettershoek","grand toquet","van walpoorbrugstraat tot corianderstraat.",5,2
248,"Groot gewat","avenue de la cour","van burgstraat tot prinsenhof.",2,3
249,"Groot kanonplaats","place du grand cannon","van langemunt tot vrijdagmarkt.",1,1
250,"Groot meerhem","quai du grand marais","van chartreuzenstraat tot klein meerhem.",3,3
251,"Guinardstraat","r. Guinard","v. bagattenstr. tot plateaustr.",5,2
252,"Haanstraat","rue du coq","van meulesteedschen steenweg tusschen nrs 258 en 260 tot achtermuide.","HM 3",1
253,"Ham","r. du jambon","v. roodentorenkaai t. Fiévéstraat.","H 3",1
254,"Hamburgstraat","rue du Hambourg","van meulesteedschen steenweg tot voorhavendreef.","HM 3",1
255,"Hamerstraat","r. du marteau","v. groendreef t. kiekenstr.",6,3
256,"Haringsteeg","rue du hareng","v. geldmunt tot hertogstr.",3,3
257,"Harmoniestraat","rue de l'harmonie","Ledeberg, van driesstraat tot pacificatiestraat.",,
258,"Haspelstr.","r. du dévidoir","v. rooigemstr. t. ambeeldst.",6,3
259,"Haverstraat","rue de l’avoine","van lindenstraat tot nijverheidsboulevard.","H 6",3
260,"Hazewindstraat","r. du lévrier","v. koornmarkt t. graslei.",1,2
261,"Heidestraat","rue de la bruyère","Gentbrugge, van St Genoisstraat tot gontrodestraat.",,
262,"Heiliggeeststraat","rue du s. esprit","van cataloniëstraat tot bennesteeg.",1,2
263,"Heillig Hartstraat","rue du sacré coeur","van dendermondschen steenweg tot koningstraat s. amandsb.",,
264,"Heilligkerststraat",,"ziet s. salvatorstraat.",,
265,"Heilig sacramentstraat","rue du s. sacrement","van korte meire tot veldstraat.",1,2
266,"Heirnisseboulevard",,"ziet boulevard der heirnisse.",,
267,"Heirweg Ledeberg, v. hundelgemschensteenweg tot heirweg","gentbrugge",".",,
268,"Hel","de","maakt deel van huidevetterken.",,
269,"Hemelrijkstraat","rue du paradis","ziet donkersteeg.",,
270,"Hendrik Consciencestraat","rue Henri Conscience","van plateaustraat tot rogierstraat.",5,2
271,"Henegouwensstraat","rue du Hainaut","van laurentplaats tot kalanderstraat en voldersstraat.",4,2
272,"Herderstraat","rue du berger","v. werrkhuisstr. tot vlasstr.",6,3
273,"Herodeszak","cul de sac d’Hérodes","in de zaaimansstraat, rechter kant.",3,3
274,"Herppelsteeg","rue du canard","van ursulinenstraat tot s. jacobsnieuwstraat.",1,1
275,"Hertogstraat","rue ducale","v. kraanlei tot plottersgracht.",3,3
276,"Hertstraat","rue du cerf","van muinkkaai tot dwarsstraat.",6,1
277,"Heuvelstraat","rue de la colline","van s. amandstraat tot heuvelpoort.",5,2
278,"Heyveldslag","rue Heyveld","s. Amandsberg, van achterstraat tot koersplein.",,
279,"Hippoliet Lammensstraat","rue Hipp. Lammens","van begijnenstraat tot Verspeyenstraat.",2,3
280,"Hoefijzerstraat","rue du fer à cheval","van langemunt, links, tot de rivier, kraanlei.",1,1
281,"Hoefijzerstraat","rue du fer à cheval","Ledeberg, van doorgangstraat tot tooverheksstraat.",,
282,"Hofbouwlaan","boul. de l’horticulture","v. normaalschoolstraat tot aan het park.","H 5",2
283,"Hofsteeg",,"ziet 2de prinsenhofzaksteeg.",,
284,"Hofstraat","rue du jardin","van muinkkaai tot dierentuindreef.",5,1
285,"Hofsstraat","rue du jardin","Gentbrugge, van gontrodestraat tot arsenalstraat.",,
286,"Holstraat","rue de la caverne","van hoogstraat tot galgenbergstraat.",2,2
287,"Hongerijstraat","rue de Hongrie",", van kerkstraat tot Dries  Gentbrugge",,
288,"Hoofdkerkstraat","rue de la cathédrale","van s. baafsstr. tot bisdomplaats.",1,2
289,"Hoogescheldestraat","rue du haut-escaut","ziet gouvernementstraat.",,
290,"Hoogeweg","rue de haut chemin","s. Amandsberg, van gentstraat tot meulestede.",,
291,"Hoogezonnestraat","rue haute du soleil","van veerleplaats tot burgstraat, onthoofdbrug.",3,3
292,"Hoogpoortstraat","rue hautport","van groenselmarkt tot nederpolder.",1,2
293,"Hoogpoortstraatje",,"ziet werregarenstraat.",,
294,"Hoogstraat","rue haute","v. poel tot brugschepoortstr.",2,"1 en 2"
295,"Hoogstraat","rue haute","s. Amandsberg, van Brunaustraat tot dendermondschen steenweg.",,
296,"Hooiaard","place aux foins","van koornmarkt tot pensmarkt en graslei.",1,2
297,"Hooie","place des prés","in de tweebruggenstraat, straat zonder einde.",4,1
298,"Hoornstraat","rue de la corne","van veldstraat tot predikheerenbrug.",1,2
299,"Hospiciestraat","rue de l’hospice","Ledeberg, ziet gasthuisstraat.",,
300,"Hospiciestraat","r. de l'hospice","Gentbrugge, van kapellestraat tot boulevard van den ijzerenweg.",,
301,"Hospitaalstraat","rue de l'hôpital","van akkergemstraat tot nieuwe wandeling.","H 2",2
302,"Hospitaalstraatje",,"ziet kleine hospitaalstraat.",,
303,"Houtbriel","rue du chantier","van oude schapenmarkt tot kalvermarkt.",1,1
304,"Houtlei","quai au bois","van torenbrug, hoogstraat, tot violettenlei.",2,2
305,"Hoveniersberg","montagne des jardiniers","van s. pietersnieuwstraat tot opperschelde, muinkkaai.",5,2
306,"Hoveniersstraat","rue des jardiniers","van hospitaalstraat tot akkergemboulevard.","H 2",2
307,"Hoveniersstraat","rue des jardiniers","Ledeberg, van brusselschen steenweg tot langestraat.",,
